,Date,Precipitation,Air Temperature,Relative Humidity,Wind Speed ,lag_f1
256,2019-11-21 22:00,0.0,12.1,98.85,1.0,0.0
257,2019-11-21 23:00,0.0,11.8,99.1,0.75,0.0
258,2019-11-22 00:00,0.0,11.5,98.55,0.7,0.0
259,2019-11-22 01:00,0.0,11.55,98.9,1.1,0.0
260,2019-11-22 02:00,0.0,12.45,97.85,1.0,0.0
261,2019-11-22 03:00,0.0,13.75,95.2,0.9,0.0
262,2019-11-22 04:00,0.0,15.65,89.45,1.3,0.0
263,2019-11-22 05:00,0.0,17.95,77.35,1.7,0.0
264,2019-11-22 06:00,0.0,20.05,65.7,2.0,0.0
265,2019-11-22 07:00,0.0,21.3,60.7,2.0,0.0
266,2019-11-22 08:00,0.0,22.05,57.4,2.15,0.0
267,2019-11-22 09:00,0.0,22.25,56.85,2.15,0.0
268,2019-11-22 10:00,0.0,21.85,58.1,2.15,0.0
269,2019-11-22 11:00,0.0,20.45,63.85,1.75,0.0
270,2019-11-22 12:00,0.0,18.05,73.45,1.15,0.0
271,2019-11-22 13:00,0.0,16.25,85.5,1.2,0.0
272,2019-11-22 14:00,0.0,16.15,87.85,1.5,0.0
273,2019-11-22 15:00,0.0,17.3,100.0,0.9,0.0
274,2019-11-22 16:00,0.0,16.8,100.0,1.0,0.0
275,2019-11-22 17:00,0.0,16.5,100.0,0.8,0.0
276,2019-11-22 18:00,0.0,15.8,100.0,0.8,0.0
277,2019-11-22 19:00,0.0,15.4,100.0,0.5,0.0
278,2019-11-22 20:00,0.0,15.2,100.0,0.8,0.0
279,2019-11-22 21:00,0.0,14.7,100.0,0.6,0.0
280,2019-11-22 22:00,0.0,14.4,100.0,0.5,0.0
281,2019-11-22 23:00,0.0,14.4,100.0,0.5,0.0
282,2019-11-23 00:00,0.0,14.7,100.0,0.6,0.0
283,2019-11-23 01:00,0.0,14.6,100.0,0.8,0.0
284,2019-11-23 02:00,0.0,14.5,100.0,0.8,0.0
285,2019-11-23 03:00,0.0,14.6,100.0,1.2,0.0
286,2019-11-23 04:00,0.0,14.9,100.0,1.4,0.0
287,2019-11-23 05:00,0.0,16.1,100.0,1.2,0.0
288,2019-11-23 06:00,0.0,17.1,99.3,1.3,0.0
289,2019-11-23 07:00,0.0,19.5,85.7,1.3,0.0
290,2019-11-23 08:00,0.0,21.0,73.8,1.6,0.0
291,2019-11-23 09:00,0.0,21.9,67.8,1.4,0.0
292,2019-11-23 10:00,0.0,22.0,66.9,1.5,0.0
293,2019-11-23 11:00,0.0,21.1,75.6,1.3,0.0
294,2019-11-23 12:00,0.0,19.6,90.2,0.8,0.0
295,2019-11-23 13:00,0.0,18.1,100.0,0.9,0.0
296,2019-11-23 14:00,0.0,17.1,100.0,0.5,0.0
297,2019-11-23 15:00,0.0,16.4,100.0,0.7,0.0
298,2019-11-23 16:00,0.0,15.9,100.0,0.7,0.0
299,2019-11-23 17:00,0.0,15.6,100.0,0.6,0.0
